0.84903640257
1170.png,4
4719.png,3
3018.png,1
3719.png,3
1644.png,3
52.png,3
4739.png,4
4336.png,4
4578.png,1
3721.png,3
4291.png,1
3826.png,5
3122.png,2
1674.png,3
798.png,4
4493.png,2
1199.png,5
3224.png,4
4788.png,3
3573.png,3
3987.png,3
245.png,5
4295.png,4
1921.png,4
4775.png,3
2580.png,1
4105.png,1
1673.png,3
3308.png,1
795.png,3
3876.png,2
2436.png,5
3575.png,3
697.png,0
665.png,4
4921.png,4
4234.png,3
4823.png,2
1573.png,4
460.png,3
1814.png,3
1628.png,5
1325.png,3
4518.png,4
2405.png,5
1507.png,2
2183.png,5
4995.png,3
4322.png,4
3718.png,3
829.png,3
4019.png,3
1260.png,4
1647.png,3
2387.png,2
2849.png,4
1433.png,4
1309.png,1
3227.png,1
3417.png,2
3657.png,4
4448.png,3
922.png,2
3714.png,2
2030.png,4
4679.png,1
2779.png,3
2352.png,1
2958.png,3
3342.png,2
1798.png,5
1362.png,3
2227.png,1
1488.png,1
4980.png,3
4125.png,3
4557.png,3
4587.png,1
2984.png,3
550.png,3
4840.png,2
872.png,2
4432.png,4
1839.png,5
1196.png,1
2003.png,2
2844.png,1
2680.png,2
3440.png,1
4979.png,5
2297.png,1
2086.png,3
2298.png,3
1105.png,5
1973.png,2
4076.png,1
3171.png,1
3743.png,3
1351.png,4
1283.png,1
2995.png,5
4938.png,1
3433.png,2
4061.png,3
4893.png,4
3405.png,1
3770.png,2
4684.png,3
4048.png,4
3334.png,3
3488.png,4
3583.png,1
3514.png,4
179.png,3
4190.png,1
4782.png,4
1710.png,1
4063.png,3
3468.png,3
2051.png,5
4066.png,1
4655.png,3
4947.png,1
1276.png,2
4084.png,1
2483.png,3
1128.png,3
2507.png,4
1480.png,3
87.png,1
3562.png,4
3731.png,1
549.png,4
2766.png,1
56.png,2
2955.png,2
3907.png,2
2785.png,3
4238.png,3
3400.png,1
4851.png,1
2022.png,1
3477.png,4
1009.png,3
2158.png,1
323.png,1
1534.png,1
3787.png,5
749.png,0
919.png,5
3142.png,4
978.png,1
3706.png,3
3955.png,3
331.png,4
3447.png,1
2399.png,3
4057.png,2
1103.png,3
845.png,3
3500.png,1
4791.png,5
4760.png,3
3473.png,5
2701.png,5
4609.png,5
20.png,5
3903.png,1
355.png,3
1858.png,1
4168.png,4
1581.png,2
1420.png,3
3409.png,5
4746.png,3
1364.png,3
1278.png,5
4374.png,3
1265.png,3
3259.png,1
4571.png,3
4808.png,1
3697.png,5
2881.png,1
3341.png,4
4441.png,4
3851.png,5
3801.png,3
2452.png,3
2347.png,1
2309.png,3
3604.png,5
3849.png,1
4889.png,1
1719.png,3
653.png,5
4958.png,1
2388.png,1
3313.png,5
1866.png,3
1311.png,4
73.png,1
2948.png,1
2308.png,3
3231.png,1
1035.png,2
287.png,1
3984.png,3
2917.png,5
4965.png,0
211.png,2
262.png,1
2490.png,1
1374.png,4
2512.png,3
584.png,4
643.png,1
1664.png,5
2310.png,3
3681.png,3
3615.png,1
3784.png,1
4281.png,4
1595.png,2
1832.png,5
4178.png,1
2278.png,3
2135.png,3
3547.png,4
416.png,1
2818.png,2
451.png,1
1643.png,1
12.png,3
1062.png,3
2461.png,4
3144.png,4
1654.png,1
3691.png,4
3611.png,1
3780.png,2
3703.png,3
1847.png,5
1592.png,3
715.png,2
966.png,3
660.png,2
1326.png,4
4897.png,4
1767.png,1
721.png,4
1157.png,2
45.png,2
1695.png,1
3160.png,2
2290.png,3
1694.png,3
4877.png,2
4992.png,4
2475.png,3
3266.png,1
2784.png,4
3084.png,4
3913.png,4
1822.png,1
3635.png,3
914.png,1
2505.png,3
1796.png,1
148.png,2
3771.png,4
4469.png,1
2944.png,1
3141.png,5
4323.png,4
361.png,4
624.png,4
3601.png,3
4394.png,5
2643.png,3
3772.png,1
3367.png,2
64.png,4
1672.png,5
4824.png,3
1871.png,3
1881.png,3
2577.png,4
2468.png,5
812.png,3
3520.png,4
1639.png,2
4250.png,3
1006.png,1
1611.png,4
3847.png,5
118.png,5
3056.png,1
1023.png,3
2824.png,3
3618.png,1
2010.png,3
4535.png,3
3256.png,5
3912.png,5
366.png,3
1357.png,5
328.png,1
4290.png,3
3095.png,1
3480.png,2
4436.png,5
642.png,1
2872.png,3
1142.png,3
3254.png,3
1233.png,3
3222.png,4
4866.png,3
150.png,3
4056.png,1
4741.png,2
2717.png,1
4967.png,1
3127.png,3
4613.png,0
44.png,4
1292.png,3
376.png,3
906.png,3
3592.png,3
2328.png,1
744.png,3
971.png,1
2392.png,3
2376.png,1
267.png,3
1346.png,4
2909.png,2
2754.png,1
2674.png,3
2260.png,1
3552.png,2
4822.png,1
1185.png,2
4771.png,1
1195.png,5
3612.png,2
296.png,5
954.png,1
135.png,1
3767.png,4
3865.png,1
1599.png,1
3404.png,2
360.png,1
2268.png,5
2560.png,4
3349.png,4
4222.png,1
3996.png,5
849.png,5
3002.png,4
2497.png,3
918.png,1
2790.png,2
1384.png,3
3232.png,1
1929.png,4
2709.png,1
2510.png,1
259.png,1
2678.png,2
3108.png,3
2993.png,0
4430.png,3
3880.png,2
519.png,4
2579.png,2
1218.png,3
4499.png,1
88.png,2
2186.png,3
4044.png,4
1520.png,2
4592.png,5
2631.png,3
3763.png,4
2640.png,1
599.png,4
2028.png,2
532.png,2
2794.png,3
4570.png,5
1502.png,2
2942.png,4
4634.png,4
3680.png,2
2177.png,1
4091.png,5
41.png,1
145.png,2
2386.png,2
3924.png,3
4055.png,1
1416.png,3
957.png,5
214.png,3
1054.png,1
2602.png,3
1371.png,1
2075.png,4
3463.png,4
443.png,3
2069.png,3
1090.png,5
268.png,5
1119.png,4
3821.png,1
2182.png,4
662.png,1
3978.png,5
3442.png,2
3965.png,5
1055.png,3
1315.png,1
541.png,2
831.png,3
4544.png,1
311.png,1
847.png,4
784.png,2
4748.png,4
4583.png,3
4097.png,0
4467.png,5
4100.png,1
1774.png,4
950.png,5
4776.png,5
4731.png,3
2860.png,3
3378.png,3
4901.png,4
1532.png,4
852.png,3
60.png,1
1028.png,1
2098.png,2
1088.png,3
1632.png,1
854.png,4
4660.png,5
1584.png,2
1395.png,5
435.png,4
2430.png,0
1737.png,2
2548.png,3
4139.png,4
3527.png,3
4265.png,1
191.png,1
1419.png,4
4902.png,1
127.png,1
4691.png,1
520.png,3
3262.png,2
2492.png,3
4362.png,4
1314.png,3
2130.png,1
4682.png,1
3690.png,4
4111.png,5
3493.png,3
2043.png,1
3030.png,5
693.png,3
1777.png,5
3532.png,1
1268.png,3
2345.png,5
3009.png,3
16.png,3
3157.png,1
369.png,4
1349.png,2
65.png,2
3702.png,3
3413.png,0
4428.png,5
717.png,3
4123.png,4
4688.png,4
3607.png,1
383.png,4
3666.png,5
2362.png,3
2100.png,3
1554.png,1
4528.png,4
3422.png,4
4705.png,3
458.png,3
4848.png,4
2633.png,4
1707.png,1
4879.png,5
1610.png,3
40.png,2
4244.png,1
975.png,1
1077.png,2
4316.png,1
946.png,3
4968.png,3
706.png,1
4611.png,5
2675.png,1
3842.png,3
4134.png,3
36.png,2
3424.png,5
1155.png,3
3414.png,3
113.png,1
755.png,2
2110.png,1
3537.png,4
1297.png,3
1687.png,4
3877.png,3
3543.png,5
4429.png,1
4873.png,1
230.png,3
2884.png,1
4811.png,5
627.png,3
176.png,5
1305.png,1
1825.png,1
1512.png,5
1763.png,1
4146.png,3
236.png,1
1686.png,3
842.png,1
2201.png,1
282.png,3
92.png,3
3325.png,1
853.png,4
1563.png,1
2954.png,3
2044.png,3
3187.png,3
3817.png,3
1875.png,3
2856.png,2
4802.png,1
1567.png,4
4417.png,3
2269.png,1
4805.png,2
1778.png,3
4415.png,2
3699.png,1
1824.png,4
456.png,3
3415.png,2
99.png,1
1659.png,3
4658.png,4
3348.png,4
1745.png,5
3027.png,3
2639.png,2
1339.png,3
1809.png,4
3585.png,3
2006.png,2
3439.png,3
2660.png,3
152.png,2
685.png,4
2206.png,1
1098.png,2
4342.png,3
2327.png,3
3968.png,1
4034.png,1
1504.png,5
3568.png,4
3502.png,1
612.png,3
2267.png,4
2716.png,2
2941.png,3
3411.png,5
509.png,3
515.png,1
2420.png,2
1277.png,1
2482.png,5
2630.png,4
656.png,2
836.png,3
1730.png,1
3862.png,3
